Name of Earth Meteorite,id,Meteorite,nametype,recclass,mass,year,reclat,reclong
Aachen,1,Valid,L5,600,,reclat,reclong
Aarhus,2,Valid,H6,600,,reclat,reclong
Abee,6,Valid,EH4,600,,reclat,reclong
Acapulco,10,Valid,Acapulcoite,600,,reclat,reclong
Achiras,370,Valid,L6,600,,reclat,reclong
Adhi Kot,379,Valid,EH4,600,,reclat,reclong
Adzhi-Bogdo (stone),390,Valid,LL3-6,600,,reclat,reclong
Agen,392,Valid,H5,600,,reclat,reclong
Aguada,398,Valid,L6,600,,reclat,reclong
Aguila Blanca,417,Valid,L,600,,reclat,reclong
Aioun el Atrouss,423,Valid,Diogenite-pm,600,,reclat,reclong
Aïr,424,Valid,L6,600,,reclat,reclong
Aire-sur-la-Lys,425,Valid,Unknown,600,,reclat,reclong
Akaba,426,Valid,L6,600,,reclat,reclong
Akbarpur,427,Valid,H4,600,,reclat,reclong
Akwanga,432,Valid,H,600,,reclat,reclong
Akyumak,433,Valid,"Iron, IVA",600,,reclat,reclong
Al Rais,446,Valid,CR2-an,600,,reclat,reclong
Al Zarnkh,447,Valid,LL5,600,,reclat,reclong
Alais,448,Valid,CI1,600,,reclat,reclong
Albareto,453,Valid,L/LL4,600,,reclat,reclong
Alberta,454,Valid,L,600,,reclat,reclong
Alby sur Chéran,458,Valid,Eucrite-mmict,600,,reclat,reclong
Aldsworth,461,Valid,LL5,600,,reclat,reclong
Aleppo,462,Valid,L6,600,,reclat,reclong
Alessandria,463,Valid,H5,600,,reclat,reclong
Alexandrovsky,465,Valid,H4,600,,reclat,reclong
Alfianello,466,Valid,L6,600,,reclat,reclong
Allegan,2276,Valid,H5,600,,reclat,reclong
Allende,2278,Valid,CV3,600,,reclat,reclong
Almahata Sitta,48915,Valid,Ureilite-an,600,,reclat,reclong
Alta'ameem,2284,Valid,LL5,600,,reclat,reclong
Ambapur Nagla,2290,Valid,H5,600,,reclat,reclong
Andhara,2294,Valid,Stone-uncl,600,,reclat,reclong
Andover,2295,Valid,L6,600,,reclat,reclong
Andreevka,2296,Valid,L3,600,,reclat,reclong
Andura,2298,Valid,H6,600,,reclat,reclong
Northwest Africa 5815,50693,Valid,L5,600,,reclat,reclong
Angers,2301,Valid,L6,600,,reclat,reclong
